event_title,organisation,date,location,match_nr,fighter1_name,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,round,time
UFC Fight Night 122 - Bisping vs. Gastelum,Ultimate Fighting Championship (UFC),"Nov 25, 2017","Mercedez-Benz Arena, Shanghai, China",8,Zabit Magomedsharipov,Sheymon Moraes,win,loss,Submission,Anaconda Choke,3,04:30
UFC Fight Night 121 - Werdum vs. Tybura,Ultimate Fighting Championship (UFC),"Nov 18, 2017","Qudos Bank Arena, Sydney, New South Wales, Australia",11,Belal Muhammad,Tim Means,win,loss,Decision,Split,3,05:00
UFC Fight Night 121 - Werdum vs. Tybura,Ultimate Fighting Championship (UFC),"Nov 18, 2017","Qudos Bank Arena, Sydney, New South Wales, Australia",8,Alexander Volkanovski,Shane Young,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 120 - Poirier vs. Pettis,Ultimate Fighting Championship (UFC),"Nov 11, 2017","Ted Constant Convocation Center, Norfolk, Virginia, United States",6,Tatiana Suarez,Viviane Pereira,win,loss,Decision,Unanimous,3,05:00
UFC 217 - Bisping vs. St. Pierre,Ultimate Fighting Championship (UFC),"Nov 4, 2017","Madison Square Garden, New York, New York, United States",11,Georges St. Pierre,Michael Bisping,win,loss,Technical Submission,Rear-Naked Choke,3,4:23
UFC 217 - Bisping vs. St. Pierre,Ultimate Fighting Championship (UFC),"Nov 4, 2017","Madison Square Garden, New York, New York, United States",7,Paulo Costa,Johny Hendricks,win,loss,TKO,Punches,2,01:23
UFC 216 - Ferguson vs. Lee,Ultimate Fighting Championship (UFC),"Oct 7, 2017","T-Mobile Arena, Las Vegas, Nevada, United States",10,Demetrious Johnson,Ray Borg,win,loss,Submission,Armbar,5,03:15
UFC 216 - Ferguson vs. Lee,Ultimate Fighting Championship (UFC),"Oct 7, 2017","T-Mobile Arena, Las Vegas, Nevada, United States",6,Cody Stamann,Tom Duquesnoy,win,loss,Decision,Split,3,05:00
UFC 216 - Ferguson vs. Lee,Ultimate Fighting Championship (UFC),"Oct 7, 2017","T-Mobile Arena, Las Vegas, Nevada, United States",2,John Moraga,Magomed Bibulatov,win,loss,KO,Punch,1,01:38
UFC Fight Night 116 - Rockhold vs. Branch,Ultimate Fighting Championship (UFC),"Sep 16, 2017","PPG Paints Arena, Pittsburgh, Pennsylvania, United States",7,Gregor Gillespie,Jason Gonzalez,win,loss,Submission,Arm-Triangle Choke,2,02:11
UFC 215 - Nunes vs. Shevchenko 2,Ultimate Fighting Championship (UFC),"Sep 9, 2017","Rogers Place, Edmonton, Alberta, Canada",9,Henry Cejudo,Wilson Reis,win,loss,TKO,Punches,2,00:25
UFC Fight Night 115 - Volkov vs. Struve,Ultimate Fighting Championship (UFC),"Sep 2, 2017","Ahoy Rotterdam, Rotterdam, South Holland, Netherlands",9,Leon Edwards,Bryan Barberena,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 115 - Volkov vs. Struve,Ultimate Fighting Championship (UFC),"Sep 2, 2017","Ahoy Rotterdam, Rotterdam, South Holland, Netherlands",5,Rustam Khabilov,Desmond Green,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 115 - Volkov vs. Struve,Ultimate Fighting Championship (UFC),"Sep 2, 2017","Ahoy Rotterdam, Rotterdam, South Holland, Netherlands",3,Zabit Magomedsharipov,Mike Santiago,win,loss,Submission,Rear-Naked Choke,2,04:22
UFC 214 - Cormier vs. Jones 2,Ultimate Fighting Championship (UFC),"Jul 29, 2017","Honda Center, Anaheim, California, United States",10,Cristiane Justino,Tonya Evinger,win,loss,TKO,Knees,3,01:56
UFC 214 - Cormier vs. Jones 2,Ultimate Fighting Championship (UFC),"Jul 29, 2017","Honda Center, Anaheim, California, United States",6,Aljamain Sterling,Renan Barao,win,loss,Decision,Unanimous,3,05:00
UFC 213 - Romero vs. Whittaker,Ultimate Fighting Championship (UFC),"Jul 8, 2017","T-Mobile Arena, Las Vegas, Nevada, United States",3,Belal Muhammad,Jordan Mein,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 110 - Hunt vs. Lewis,Ultimate Fighting Championship (UFC),"Jun 10, 2017","Vector Arena, Auckland, New Zealand, New Zealand",6,Alexander Volkanovski,Mizuto Hirota,win,loss,Decision,Unanimous,3,05:00
UFC 212 - Aldo vs. Holloway,Ultimate Fighting Championship (UFC),"Jun 3, 2017","HSBC Arena, Rio de Janeiro, Brazil, Brazil",9,Paulo Costa,Oluwale Bamgbose,win,loss,TKO,Punches,2,01:06
UFC on Fox 24 - Johnson vs. Reis,Ultimate Fighting Championship (UFC),"Apr 15, 2017","Sprint Center, Kansas City, Missouri, United States",13,Demetrious Johnson,Wilson Reis,win,loss,Submission,Armbar,3,4:49
UFC on Fox 24 - Johnson vs. Reis,Ultimate Fighting Championship (UFC),"Apr 15, 2017","Sprint Center, Kansas City, Missouri, United States",8,Tom Duquesnoy,Patrick Williams,win,loss,TKO,Elbows,2,00:28
UFC on Fox 24 - Johnson vs. Reis,Ultimate Fighting Championship (UFC),"Apr 15, 2017","Sprint Center, Kansas City, Missouri, United States",7,Rashid Magomedov,Bobby Green,win,loss,Decision,Split,3,05:00
UFC on Fox 24 - Johnson vs. Reis,Ultimate Fighting Championship (UFC),"Apr 15, 2017","Sprint Center, Kansas City, Missouri, United States",5,Aljamain Sterling,Augusto Mendes,win,loss,Decision,Unanimous,3,05:00
UFC 210 - Cormier vs. Johnson 2,Ultimate Fighting Championship (UFC),"Apr 8, 2017","KeyBank Center, Buffalo, New York, United States",13,Daniel Cormier,Anthony Johnson,win,loss,Submission,Rear-Naked Choke,2,3:37
UFC 210 - Cormier vs. Johnson 2,Ultimate Fighting Championship (UFC),"Apr 8, 2017","KeyBank Center, Buffalo, New York, United States",12,Gegard Mousasi,Chris Weidman,win,loss,TKO,Knees,2,03:13
UFC 210 - Cormier vs. Johnson 2,Ultimate Fighting Championship (UFC),"Apr 8, 2017","KeyBank Center, Buffalo, New York, United States",4,Gregor Gillespie,Andrew Holbrook,win,loss,KO,Punches,1,00:21
UFC 210 - Cormier vs. Johnson 2,Ultimate Fighting Championship (UFC),"Apr 8, 2017","KeyBank Center, Buffalo, New York, United States",1,Magomed Bibulatov,Jenel Lausa,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 107 - Manuwa vs. Anderson,Ultimate Fighting Championship (UFC),"Mar 18, 2017","O2 Arena, London, England, United Kingdom",8,Arnold Allen,Makwan Amirkhani,win,loss,Decision,Split,3,05:00
UFC Fight Night 107 - Manuwa vs. Anderson,Ultimate Fighting Championship (UFC),"Mar 18, 2017","O2 Arena, London, England, United Kingdom",4,Leon Edwards,Vicente Luque,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 106 - Belfort vs. Gastelum,Ultimate Fighting Championship (UFC),"Mar 11, 2017","Northeast Olympic Training Center, Fortaleza, Ceara, Brazil",1,Paulo Costa,Garreth McLellan,win,loss,TKO,Punches,1,01:17
UFC 208 - Holm vs. De Randamie,Ultimate Fighting Championship (UFC),"Feb 11, 2017","Barclays Center, Brooklyn, New York, United States",5,Belal Muhammad,Randy Brown,win,loss,Decision,Unanimous,3,05:00
UFC 208 - Holm vs. De Randamie,Ultimate Fighting Championship (UFC),"Feb 11, 2017","Barclays Center, Brooklyn, New York, United States",3,Islam Makhachev,Nik Lentz,win,loss,Decision,Unanimous,3,05:00
UFC on Fox 23 - Shevchenko vs. Pena,Ultimate Fighting Championship (UFC),"Jan 28, 2017","Pepsi Center, Denver, Colorado, United States",7,Raphael Assuncao,Aljamain Sterling,win,loss,Decision,Split,3,05:00
UFC 207 - Nunes vs. Rousey,Ultimate Fighting Championship (UFC),"Dec 30, 2016","T-Mobile Arena, Las Vegas, Nevada, United States",9,Cody Garbrandt,Dominick Cruz,win,loss,Decision,Unanimous,5,05:00
UFC 206 - Holloway vs. Pettis,Ultimate Fighting Championship (UFC),"Dec 10, 2016","Air Canada Centre, Toronto, Ontario, Canada",2,Rustam Khabilov,Jason Saggo,win,loss,Decision,Unanimous,3,05:00
UFC - The Ultimate Fighter 24 Finale,Ultimate Fighting Championship (UFC),"Dec 3, 2016","Palms Casino Resort, Las Vegas, Nevada, United States",12,Demetrious Johnson,Tim Elliott,win,loss,Decision,Unanimous,5,5:00
UFC - The Ultimate Fighter 24 Finale,Ultimate Fighting Championship (UFC),"Dec 3, 2016","Palms Casino Resort, Las Vegas, Nevada, United States",11,Joseph Benavidez,Henry Cejudo,win,loss,Decision,Split,3,05:00
UFC Fight Night 101 - Whittaker vs. Brunson,Ultimate Fighting Championship (UFC),"Nov 26, 2016","Rod Laver Arena, Melbourne, Victoria, Australia",10,Alexander Volkanovski,Yusuke Kasuya,win,loss,TKO,Punches,2,02:06
UFC Fight Night 99 - Mousasi vs. Hall 2,Ultimate Fighting Championship (UFC),"Nov 19, 2016","SSE Arena, Belfast, Northern Ireland, Northern Ireland",13,Gegard Mousasi,Uriah Hall,win,loss,TKO,Punches,1,4:31
UFC Fight Night 99 - Mousasi vs. Hall 2,Ultimate Fighting Championship (UFC),"Nov 19, 2016","SSE Arena, Belfast, Northern Ireland, Northern Ireland",8,Kyoji Horiguchi,Ali Bagautinov,win,loss,Decision,Unanimous,3,05:00
UFC 205 - Alvarez vs. McGregor,Ultimate Fighting Championship (UFC),"Nov 12, 2016","Madison Square Garden, New York, New York, United States",5,Khabib Nurmagomedov,Michael Johnson,win,loss,Submission,Kimura,3,02:31
UFC 205 - Alvarez vs. McGregor,Ultimate Fighting Championship (UFC),"Nov 12, 2016","Madison Square Garden, New York, New York, United States",3,Vicente Luque,Belal Muhammad,win,loss,KO,Punches,1,01:19
UFC Fight Night 98 - Dos Anjos vs. Ferguson,Ultimate Fighting Championship (UFC),"Nov 5, 2016","Mexico City Arena, Mexico City, Federal District, Mexico",9,Beneil Dariush,Rashid Magomedov,win,loss,Decision,Unanimous,3,05:00
UFC 204 - Bisping vs. Henderson 2,Ultimate Fighting Championship (UFC),"Oct 8, 2016","Manchester Arena, Manchester, Greater Manchester, England",10,Gegard Mousasi,Vitor Belfort,win,loss,TKO,Punches,2,02:43
UFC 204 - Bisping vs. Henderson 2,Ultimate Fighting Championship (UFC),"Oct 8, 2016","Manchester Arena, Manchester, Greater Manchester, England",4,Leon Edwards,Albert Tumenov,win,loss,Submission,Rear-Naked Choke,3,03:01
UFC Fight Night 95 - Cyborg vs. Lansberg,Ultimate Fighting Championship (UFC),"Sep 24, 2016","Nilson Nelson Gymnasium, Brasilia, Federal District, Brazil",13,Cristiane Justino,Lina Lansberg,win,loss,TKO,Punches,2,2:29
UFC Fight Night 95 - Cyborg vs. Lansberg,Ultimate Fighting Championship (UFC),"Sep 24, 2016","Nilson Nelson Gymnasium, Brasilia, Federal District, Brazil",1,Gregor Gillespie,Glaico Franca,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 94 - Poirier vs. Johnson,Ultimate Fighting Championship (UFC),"Sep 17, 2016","State Farm Arena, Hidalgo, Texas, United States",8,Islam Makhachev,Chris Wade,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 94 - Poirier vs. Johnson,Ultimate Fighting Championship (UFC),"Sep 17, 2016","State Farm Arena, Hidalgo, Texas, United States",5,Belal Muhammad,Augusto Montano,win,loss,TKO,Punches,3,04:19
UFC Fight Night 93 - Arlovski vs. Barnett,Ultimate Fighting Championship (UFC),"Sep 3, 2016","Barclaycard Arena, Hamburg, Germany",1,Rustam Khabilov,Leandro Silva,win,loss,Decision,Unanimous,3,05:00
UFC 200 - Tate vs. Nunes,Ultimate Fighting Championship (UFC),"Jul 9, 2016","T-Mobile Arena, Las Vegas, Nevada, United States",10,Daniel Cormier,Anderson Silva,win,loss,Decision,Unanimous,3,05:00
UFC 200 - Tate vs. Nunes,Ultimate Fighting Championship (UFC),"Jul 9, 2016","T-Mobile Arena, Las Vegas, Nevada, United States",2,Gegard Mousasi,Thiago Santos,win,loss,KO,Punches,1,04:32
UFC  - The Ultimate Fighter 23 Finale,Ultimate Fighting Championship (UFC),"Jul 8, 2016","MGM Grand Garden Arena, Las Vegas, Nevada, United States",10,Tatiana Suarez,Amanda Bobby Brundage,win,loss,Submission,Brabo Choke,1,03:43
UFC Fight Night 90 - Dos Anjos vs. Alvarez,Ultimate Fighting Championship (UFC),"Jul 7, 2016","MGM Grand Garden Arena, Las Vegas, Nevada, United States",10,Alan Jouban,Belal Muhammad,win,loss,Decision,Unanimous,3,05:00
UFC 199 - Rockhold vs. Bisping 2,Ultimate Fighting Championship (UFC),"Jun 4, 2016","The Forum, Inglewood, California, United States",12,Dominick Cruz,Urijah Faber,win,loss,Decision,Unanimous,5,05:00
UFC Fight Night 88 - Almeida vs. Garbrandt,Ultimate Fighting Championship (UFC),"May 29, 2016","Mandalay Bay Events Center, Las Vegas, Nevada, United States",2,Bryan Caraway,Aljamain Sterling,win,loss,Decision,Split,3,05:00
UFC 198 - Werdum vs. Miocic,Ultimate Fighting Championship (UFC),"May 14, 2016","Arena da Baixada, Curitiba, Parana, Brazil",10,Cristiane Justino,Leslie Smith,win,loss,TKO,Punches,1,01:21
UFC Fight Night 87 - Overeem vs. Arlovski,Ultimate Fighting Championship (UFC),"May 8, 2016","Ahoy Rotterdam, Rotterdam, South Holland, Netherlands",11,Gunnar Nelson,Albert Tumenov,win,loss,Submission,Neck Crank,2,03:15
UFC Fight Night 87 - Overeem vs. Arlovski,Ultimate Fighting Championship (UFC),"May 8, 2016","Ahoy Rotterdam, Rotterdam, South Holland, Netherlands",7,Rustam Khabilov,Chris Wade,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 87 - Overeem vs. Arlovski,Ultimate Fighting Championship (UFC),"May 8, 2016","Ahoy Rotterdam, Rotterdam, South Holland, Netherlands",3,Kyoji Horiguchi,Neil Seery,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 87 - Overeem vs. Arlovski,Ultimate Fighting Championship (UFC),"May 8, 2016","Ahoy Rotterdam, Rotterdam, South Holland, Netherlands",2,Leon Edwards,Dominic Waters,win,loss,Decision,Unanimous,3,05:00
UFC 197 - Jones vs. St. Preux,Ultimate Fighting Championship (UFC),"Apr 23, 2016","MGM Grand Garden Arena, Las Vegas, Nevada, United States",12,Jon Jones,Ovince St. Preux,win,loss,Decision,Unanimous,5,5:00
UFC 197 - Jones vs. St. Preux,Ultimate Fighting Championship (UFC),"Apr 23, 2016","MGM Grand Garden Arena, Las Vegas, Nevada, United States",11,Demetrious Johnson,Henry Cejudo,win,loss,TKO,Knees to the Body,1,02:49
UFC on Fox 19 - Teixeira vs. Evans,Ultimate Fighting Championship (UFC),"Apr 16, 2016","Amalie Arena, Tampa, Florida, United States",9,Khabib Nurmagomedov,Darrell Horcher,win,loss,TKO,Punches,2,03:38
UFC Fight Night 84 - Silva vs. Bisping,Ultimate Fighting Championship (UFC),"Feb 27, 2016","O2 Arena, London, Greater London, England",12,Gegard Mousasi,Thales Leites,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 84 - Silva vs. Bisping,Ultimate Fighting Championship (UFC),"Feb 27, 2016","O2 Arena, London, Greater London, England",6,Arnold Allen,Yaotzin Meza,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 84 - Silva vs. Bisping,Ultimate Fighting Championship (UFC),"Feb 27, 2016","O2 Arena, London, Greater London, England",4,Rustam Khabilov,Norman Parke,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 81 - Dillashaw vs. Cruz,Ultimate Fighting Championship (UFC),"Jan 17, 2016","TD Garden, Boston, Massachusetts, United States",13,Dominick Cruz,T.J. Dillashaw,win,loss,Decision,Split,5,5:00
UFC 195 - Lawler vs. Condit,Ultimate Fighting Championship (UFC),"Jan 2, 2016","MGM Grand Garden Arena, Las Vegas, Nevada, United States",10,Albert Tumenov,Lorenz Larkin,win,loss,Decision,Split,3,05:00
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Ultimate Fighting Championship (UFC),"Dec 19, 2015","Amway Center, Orlando, Florida, United States",3,Kamaru Usman,Leon Edwards,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 80 - Namajunas vs. VanZant,Ultimate Fighting Championship (UFC),"Dec 10, 2015","The Chelsea at the Cosmopolitan, Las Vegas, Nevada, United States",5,Aljamain Sterling,Johnny Eduardo,win,loss,Submission,Guillotine Choke,2,04:18
UFC Fight Night 78 - Magny vs. Gastelum,Ultimate Fighting Championship (UFC),"Nov 21, 2015","Monterrey Arena, Monterrey, Nuevo Leon, Mexico",11,Henry Cejudo,Jussier Formiga,win,loss,Decision,Split,3,05:00
UFC Fight Night 77 - Belfort vs. Henderson 3,Ultimate Fighting Championship (UFC),"Nov 7, 2015","Geraldo Jose de Almeida (Ibirapuera) State Gymnasium, Sao Paulo, Sao Paulo, Brazil",9,Rashid Magomedov,Gilbert Burns,win,loss,Decision,Unanimous,3,05:00
UFC 192 - Cormier vs. Gustafsson,Ultimate Fighting Championship (UFC),"Oct 3, 2015","Toyota Center, Houston, Texas, United States",12,Daniel Cormier,Alexander Gustafsson,win,loss,Decision,Split,5,5:00
UFC 192 - Cormier vs. Gustafsson,Ultimate Fighting Championship (UFC),"Oct 3, 2015","Toyota Center, Houston, Texas, United States",10,Ruslan Magomedov,Shawn Jordan,win,loss,Decision,Unanimous,3,05:00
UFC 192 - Cormier vs. Gustafsson,Ultimate Fighting Championship (UFC),"Oct 3, 2015","Toyota Center, Houston, Texas, United States",6,Albert Tumenov,Alan Jouban,win,loss,TKO,Head Kick and Punches,1,02:55
UFC 192 - Cormier vs. Gustafsson,Ultimate Fighting Championship (UFC),"Oct 3, 2015","Toyota Center, Houston, Texas, United States",5,Adriano Martins,Islam Makhachev,win,loss,TKO,Punch,1,01:46
UFC Fight Night 75 - Barnett vs. Nelson,Ultimate Fighting Championship (UFC),"Sep 26, 2015","Saitama Super Arena, Saitama, Japan",9,Uriah Hall,Gegard Mousasi,win,loss,TKO,Flying Knee and Punches,2,00:25
UFC Fight Night 75 - Barnett vs. Nelson,Ultimate Fighting Championship (UFC),"Sep 26, 2015","Saitama Super Arena, Saitama, Japan",8,Kyoji Horiguchi,Chico Camus,win,loss,Decision,Unanimous,3,05:00
UFC 191 - Johnson vs. Dodson 2,Ultimate Fighting Championship (UFC),"Sep 5, 2015","MGM Grand Garden Arena, Las Vegas, Nevada, United States",11,Demetrious Johnson,John Dodson,win,loss,Decision,Unanimous,5,5:00
UFC 191 - Johnson vs. Dodson 2,Ultimate Fighting Championship (UFC),"Sep 5, 2015","MGM Grand Garden Arena, Las Vegas, Nevada, United States",1,Joaquim Silva,Nazareno Malegarie,win,loss,Decision,Split,3,05:00
UFC Fight Night 72 - Bisping vs. Leites,Ultimate Fighting Championship (UFC),"Jul 18, 2015","SSE Hydro Arena, Glasgow, Scotland, Scotland",8,Leon Edwards,Pawel Pawlak,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 69 - Jedrzejczyk vs. Penne,Ultimate Fighting Championship (UFC),"Jun 20, 2015","O2 World, Berlin, Germany, Germany",5,Arnold Allen,Alan Omer,win,loss,Submission,Guillotine Choke,3,01:41
UFC 188 - Velasquez vs. Werdum,Ultimate Fighting Championship (UFC),"Jun 13, 2015","Mexico City Arena, Mexico City, Federal District, Mexico",6,Henry Cejudo,Chico Camus,win,loss,Decision,Unanimous,3,05:00
UFC 187 - Johnson vs. Cormier,Ultimate Fighting Championship (UFC),"May 23, 2015","MGM Grand Garden Arena, Las Vegas, Nevada, United States",11,Daniel Cormier,Anthony Johnson,win,loss,Submission,Rear-Naked Choke,3,2:39
UFC 187 - Johnson vs. Cormier,Ultimate Fighting Championship (UFC),"May 23, 2015","MGM Grand Garden Arena, Las Vegas, Nevada, United States",2,Islam Makhachev,Leo Kuntz,win,loss,Submission,Rear-Naked Choke,2,02:38
UFC Fight Night 66 - Edgar vs. Faber,Ultimate Fighting Championship (UFC),"May 16, 2015","Mall of Asia Arena, Pasay, Metro Manila, Philippines",11,Gegard Mousasi,Costas Philippou,win,loss,Decision,Unanimous,3,05:00
UFC 186 - Johnson vs. Horiguchi,Ultimate Fighting Championship (UFC),"Apr 25, 2015","Bell Centre, Montreal, Quebec, Canada",12,Demetrious Johnson,Kyoji Horiguchi,win,loss,Submission,Armbar,5,4:59
UFC on Fox 15 - Machida vs. Rockhold,Ultimate Fighting Championship (UFC),"Apr 18, 2015","Prudential Center, Newark, New Jersey, United States",4,Aljamain Sterling,Takeya Mizugaki,win,loss,Submission,Arm-Triangle Choke,3,02:11
UFC Fight Night 64 - Gonzaga vs. Cro Cop 2,Ultimate Fighting Championship (UFC),"Apr 11, 2015","Krakow Arena, Krakow, Lesser Poland, Poland",8,Leon Edwards,Seth Baczynski,win,loss,KO,Punches,1,00:08
UFC 185 - Pettis vs. dos Anjos,Ultimate Fighting Championship (UFC),"Mar 14, 2015","American Airlines Center, Dallas, Texas, United States",8,Henry Cejudo,Chris Cariaso,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 61 - Bigfoot vs. Mir,Ultimate Fighting Championship (UFC),"Feb 22, 2015","Gigantinho Gymnasium, Porto Alegre, Rio Grande do Sul, Brazil",8,Adriano Martins,Rustam Khabilov,win,loss,Decision,Split,3,05:00
UFC on Fox 14 - Gustafsson vs. Johnson,Ultimate Fighting Championship (UFC),"Jan 24, 2015","Tele2 Arena, Stockholm, Sweden, Sweden",11,Gegard Mousasi,Dan Henderson,win,loss,TKO,Punches,1,01:10
UFC on Fox 14 - Gustafsson vs. Johnson,Ultimate Fighting Championship (UFC),"Jan 24, 2015","Tele2 Arena, Stockholm, Sweden, Sweden",8,Albert Tumenov,Nicholas Musoke,win,loss,Decision,Unanimous,3,05:00
UFC 182 - Jones vs. Cormier,Ultimate Fighting Championship (UFC),"Jan 3, 2015","MGM Grand Garden Arena, Las Vegas, Nevada, United States",11,Jon Jones,Daniel Cormier,win,loss,Decision,Unanimous,5,5:00
UFC 182 - Jones vs. Cormier,Ultimate Fighting Championship (UFC),"Jan 3, 2015","MGM Grand Garden Arena, Las Vegas, Nevada, United States",8,Kyoji Horiguchi,Louis Gaudinot,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 58 - Machida vs. Dollaway,Ultimate Fighting Championship (UFC),"Dec 20, 2014","Jose Correa Arena, Barueri, Sao Paulo, Brazil",9,Rashid Magomedov,Elias Silverio,win,loss,TKO,Punches,3,04:57
UFC on Fox 13 - Dos Santos vs. Miocic,Ultimate Fighting Championship (UFC),"Dec 13, 2014","US Airways Center, Phoenix, Arizona, United States",2,Henry Cejudo,Dustin Kimura,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 57 - Edgar vs. Swanson,Ultimate Fighting Championship (UFC),"Nov 22, 2014","Frank Erwin Center, Austin, Texas, United States",6,Ruslan Magomedov,Josh Copeland,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 56 - Shogun vs. St. Preux,Ultimate Fighting Championship (UFC),"Nov 8, 2014","Tancredo Neves Municipal Gymnasium, Uberlandia, Minas Gerais, Brazil",8,Claudio Silva,Leon Edwards,win,loss,Decision,Split,3,05:00
UFC Fight Night 54 - MacDonald vs. Saffiedine,Ultimate Fighting Championship (UFC),"Oct 4, 2014","Halifax Metro Centre, Halifax, Nova Scotia, Canada",2,Albert Tumenov,Matt Dwyer,win,loss,KO,Head Kick and Punches,1,01:03
UFC 178 - Johnson vs. Cariaso,Ultimate Fighting Championship (UFC),"Sep 27, 2014","MGM Grand Garden Arena, Las Vegas, Nevada, United States",11,Demetrious Johnson,Chris Cariaso,win,loss,Submission,Kimura,2,2:29
UFC 178 - Johnson vs. Cariaso,Ultimate Fighting Championship (UFC),"Sep 27, 2014","MGM Grand Garden Arena, Las Vegas, Nevada, United States",6,Dominick Cruz,Takeya Mizugaki,win,loss,KO,Punches,1,01:01
UFC Fight Night 52 - Hunt vs. Nelson,Ultimate Fighting Championship (UFC),"Sep 20, 2014","Saitama Super Arena, Saitama, Japan, Japan",7,Kyoji Horiguchi,Jon delos Reyes,win,loss,TKO,Punches,1,03:48
UFC Fight Night 50 - Jacare vs. Mousasi 2,Ultimate Fighting Championship (UFC),"Sep 5, 2014","Foxwoods Resort Casino, Mashantucket, Connecticut, United States",9,Ronaldo Souza,Gegard Mousasi,win,loss,Submission,Guillotine Choke,3,4:30
UFC Fight Night 45 - Cerrone vs. Miller,Ultimate Fighting Championship (UFC),"Jul 16, 2014","Revel Casino Hotel, Atlantic City, New Jersey, United States",3,Aljamain Sterling,Hugo Viana,win,loss,TKO,Punches,3,03:50
UFC 174 - Johnson vs. Bagautinov,Ultimate Fighting Championship (UFC),"Jun 14, 2014","Rogers Arena, Vancouver, British Columbia, Canada",11,Demetrious Johnson,Ali Bagautinov,win,loss,Decision,Unanimous,5,5:00
UFC Fight Night 42 - Henderson vs. Khabilov,Ultimate Fighting Championship (UFC),"Jun 7, 2014","Tingley Coliseum, Albuquerque, New Mexico, United States",11,Benson Henderson,Rustam Khabilov,win,loss,Submission,Rear-Naked Choke,4,1:16
UFC Fight Night 41 - Munoz vs. Mousasi,Ultimate Fighting Championship (UFC),"May 31, 2014","O2 World, Berlin, Germany, Germany",10,Gegard Mousasi,Mark Munoz,win,loss,Submission,Rear-Naked Choke,1,3:57
UFC Fight Night 41 - Munoz vs. Mousasi,Ultimate Fighting Championship (UFC),"May 31, 2014","O2 World, Berlin, Germany, Germany",1,Ruslan Magomedov,Viktor Pesta,win,loss,Decision,Unanimous,3,05:00
UFC - The Ultimate Fighter Brazil 3 Finale,Ultimate Fighting Championship (UFC),"May 31, 2014","Geraldo Jose de Almeida (Ibirapuera) Gymnasium, Sao Paulo, Sao Paulo, Brazil",7,Rashid Magomedov,Rodrigo Damm,win,loss,Decision,Unanimous,3,05:00
UFC 173 - Barao vs. Dillashaw,Ultimate Fighting Championship (UFC),"May 24, 2014","MGM Grand Garden Arena, Las Vegas, Nevada, United States",11,Daniel Cormier,Dan Henderson,win,loss,Technical Submission,Rear-Naked Choke,3,03:53
UFC 173 - Barao vs. Dillashaw,Ultimate Fighting Championship (UFC),"May 24, 2014","MGM Grand Garden Arena, Las Vegas, Nevada, United States",5,Chris Holdsworth,Chico Camus,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 40 - Brown vs. Silva,Ultimate Fighting Championship (UFC),"May 10, 2014","U.S. Bank Arena, Cincinnati, Ohio, United States",6,Kyoji Horiguchi,Darrell Montague,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 40 - Brown vs. Silva,Ultimate Fighting Championship (UFC),"May 10, 2014","U.S. Bank Arena, Cincinnati, Ohio, United States",1,Albert Tumenov,Anthony Lapsley,win,loss,KO,Punch,1,03:56
UFC 172 - Jones vs. Teixeira,Ultimate Fighting Championship (UFC),"Apr 26, 2014","Baltimore Arena, Baltimore, Maryland, United States",10,Jon Jones,Glover Teixeira,win,loss,Decision,Unanimous,5,5:00
UFC on Fox 11 - Werdum vs. Browne,Ultimate Fighting Championship (UFC),"Apr 19, 2014","Amway Center, Orlando, Florida, United States",9,Khabib Nurmagomedov,Rafael dos Anjos,win,loss,Decision,Unanimous,3,05:00
UFC 170 - Rousey vs. McMann,Ultimate Fighting Championship (UFC),"Feb 22, 2014","Mandalay Bay Events Center, Las Vegas, Nevada, United States",10,Daniel Cormier,Patrick Cummins,win,loss,TKO,Punches,1,01:19
UFC 170 - Rousey vs. McMann,Ultimate Fighting Championship (UFC),"Feb 22, 2014","Mandalay Bay Events Center, Las Vegas, Nevada, United States",4,Aljamain Sterling,Cody Gibson,win,loss,Decision,Unanimous,3,05:00
