event_title,organisation,date,location,match_nr,fighter1_name,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,round,time
UFC 242 - Khabib vs. Poirier,Ultimate Fighting Championship (UFC),"Sep 7, 2019","Du Arena, Yas Island, Abu Dhabi, United Arab Emirates",7,Zubaira Tukhugov,Lerone Murphy,draw,draw,Draw,Split,3,05:00
UFC 242 - Khabib vs. Poirier,Ultimate Fighting Championship (UFC),"Sep 7, 2019","Du Arena, Yas Island, Abu Dhabi, United Arab Emirates",5,Ottman Azaitar,Teemu Packalen,win,loss,KO,Punch,1,03:33
UFC 242 - Khabib vs. Poirier,Ultimate Fighting Championship (UFC),"Sep 7, 2019","Du Arena, Yas Island, Abu Dhabi, United Arab Emirates",4,Belal Muhammad,Takashi Sato,win,loss,Submission,Rear-Naked Choke,3,01:55
UFC Fight Night 157 - Andrade vs. Zhang,Ultimate Fighting Championship (UFC),"Aug 31, 2019","Shenzhen Universiade Sports Centre, Shenzhen, Guangdong, China",11,Weili Zhang,Jessica Andrade,win,loss,TKO,Knees and Punches,1,0:42
UFC Fight Night 157 - Andrade vs. Zhang,Ultimate Fighting Championship (UFC),"Aug 31, 2019","Shenzhen Universiade Sports Centre, Shenzhen, Guangdong, China",3,Damir Ismagulov,Thiago Moises,win,loss,Decision,Unanimous,3,05:00
UFC 241 - Cormier vs. Miocic 2,Ultimate Fighting Championship (UFC),"Aug 17, 2019","Honda Center, Anaheim, California, United States",12,Stipe Miocic,Daniel Cormier,win,loss,TKO,Punches,4,4:09
UFC 241 - Cormier vs. Miocic 2,Ultimate Fighting Championship (UFC),"Aug 17, 2019","Honda Center, Anaheim, California, United States",10,Paulo Costa,Yoel Romero,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 156 - Shevchenko vs. Carmouche 2,Ultimate Fighting Championship (UFC),"Aug 10, 2019","Antel Arena, Montevideo, Uruguay, Uruguay",7,Gilbert Burns,Alexey Kunchenko,win,loss,Decision,Unanimous,3,05:00
UFC 240 - Holloway vs. Edgar,Ultimate Fighting Championship (UFC),"Jul 27, 2019","Rogers Place, Edmonton, Alberta, Canada",10,Cristiane Justino,Felicia Spencer,win,loss,Decision,Unanimous,3,05:00
UFC 240 - Holloway vs. Edgar,Ultimate Fighting Championship (UFC),"Jul 27, 2019","Rogers Place, Edmonton, Alberta, Canada",8,Arman Tsarukyan,Olivier Aubin-Mercier,win,loss,Decision,Unanimous,3,05:00
UFC on ESPN 4 - Dos Anjos vs. Edwards,Ultimate Fighting Championship (UFC),"Jul 20, 2019","AT&T Center, San Antonio, Texas, United States",13,Leon Edwards,Rafael dos Anjos,win,loss,Decision,Unanimous,5,5:00
UFC on ESPN 4 - Dos Anjos vs. Edwards,Ultimate Fighting Championship (UFC),"Jul 20, 2019","AT&T Center, San Antonio, Texas, United States",2,Mario Bautista,Jin Soo Son,win,loss,Decision,Unanimous,3,05:00
UFC 239 - Jones vs. Santos,Ultimate Fighting Championship (UFC),"Jul 6, 2019","T-Mobile Arena, Las Vegas, United States, United States",12,Jon Jones,Thiago Santos,win,loss,Decision,Split,5,5:00
UFC 239 - Jones vs. Santos,Ultimate Fighting Championship (UFC),"Jul 6, 2019","T-Mobile Arena, Las Vegas, United States, United States",10,Jorge Masvidal,Ben Askren,win,loss,KO,Flying Knee,1,00:05
UFC 239 - Jones vs. Santos,Ultimate Fighting Championship (UFC),"Jul 6, 2019","T-Mobile Arena, Las Vegas, United States, United States",7,Arnold Allen,Gilbert Melendez,win,loss,Decision,Unanimous,3,05:00
UFC 238 - Cejudo vs. Moraes,Ultimate Fighting Championship (UFC),"Jun 8, 2019","United Center, Chicago, Illinois, United States",13,Henry Cejudo,Marlon Moraes,win,loss,TKO,Punches,3,4:51
UFC 238 - Cejudo vs. Moraes,Ultimate Fighting Championship (UFC),"Jun 8, 2019","United Center, Chicago, Illinois, United States",8,Tatiana Suarez,Nina Nunes,win,loss,Decision,Unanimous,3,05:00
UFC 238 - Cejudo vs. Moraes,Ultimate Fighting Championship (UFC),"Jun 8, 2019","United Center, Chicago, Illinois, United States",7,Aljamain Sterling,Pedro Munhoz,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 153 - Gustafsson vs. Smith,Ultimate Fighting Championship (UFC),"Jun 1, 2019","Ericsson Globe, Stockholm, Sweden, Sweden",1,Joel Alvarez,Danilo Belluardo,win,loss,TKO,Punches,2,02:22
UFC Fight Night 152 - Dos Anjos vs. Lee,Ultimate Fighting Championship (UFC),"May 18, 2019","Blue Cross Arena, Rochester, New York, United States",4,Grant Dawson,Michael Trizano,win,loss,Submission,Rear-Naked Choke,2,02:27
UFC 237 - Namajunas vs. Andrade,Ultimate Fighting Championship (UFC),"May 11, 2019","Jeunesse Arena, Rio de Janeiro, Brazil, Brazil",10,Alexander Volkanovski,Jose Aldo,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 149 - Overeem vs. Oleynik,Ultimate Fighting Championship (UFC),"Apr 20, 2019","Yubileyny Sports Complex, St. Petersburg, Russia, Russia",10,Islam Makhachev,Arman Tsarukyan,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 149 - Overeem vs. Oleynik,Ultimate Fighting Championship (UFC),"Apr 20, 2019","Yubileyny Sports Complex, St. Petersburg, Russia, Russia",9,Sergei Pavlovich,Marcelo Golm,win,loss,KO,Punch,1,01:06
UFC Fight Night 149 - Overeem vs. Oleynik,Ultimate Fighting Championship (UFC),"Apr 20, 2019","Yubileyny Sports Complex, St. Petersburg, Russia, Russia",6,Movsar Evloev,Seung Woo Choi,win,loss,Decision,Unanimous,3,05:00
UFC 236 - Holloway vs. Poirier,Ultimate Fighting Championship (UFC),"Apr 13, 2019","State Farm Arena, Atlanta, Georgia, United States",12,Israel Adesanya,Kelvin Gastelum,win,loss,Decision,Unanimous,5,05:00
UFC 236 - Holloway vs. Poirier,Ultimate Fighting Championship (UFC),"Apr 13, 2019","State Farm Arena, Atlanta, Georgia, United States",4,Belal Muhammad,Curtis Millender,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 148 - Thompson vs. Pettis,Ultimate Fighting Championship (UFC),"Mar 23, 2019","Bridgestone Arena, Nashville, Tennessee, United States",7,Maycee Barber,J.J. Aldrich,win,loss,TKO,Knees and Punches,2,03:01
UFC Fight Night 148 - Thompson vs. Pettis,Ultimate Fighting Championship (UFC),"Mar 23, 2019","Bridgestone Arena, Nashville, Tennessee, United States",6,Bryce Mitchell,Bobby Moffett,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 147 - Till vs. Masvidal,Ultimate Fighting Championship (UFC),"Mar 16, 2019","The O2 Arena, London, Greater London, England",11,Leon Edwards,Gunnar Nelson,win,loss,Decision,Split,3,05:00
UFC Fight Night 147 - Till vs. Masvidal,Ultimate Fighting Championship (UFC),"Mar 16, 2019","The O2 Arena, London, Greater London, England",6,Arnold Allen,Jordan Rinaldi,win,loss,Decision,Unanimous,3,05:00
UFC Fight Night 146 - Lewis vs. Dos Santos,Ultimate Fighting Championship (UFC),"Mar 9, 2019","Intrust Bank Arena, Wichita, Kansas, United States",5,Grant Dawson,Julian Erosa,win,loss,Decision,Unanimous,3,05:00
UFC 235 - Jones vs. Smith,Ultimate Fighting Championship (UFC),"Mar 2, 2019","T-Mobile Arena, Las Vegas, Nevada, United States",12,Jon Jones,Anthony Smith,win,loss,Decision,Unanimous,5,5:00
UFC 235 - Jones vs. Smith,Ultimate Fighting Championship (UFC),"Mar 2, 2019","T-Mobile Arena, Las Vegas, Nevada, United States",10,Ben Askren,Robbie Lawler,win,loss,Technical Submission,Bulldog Choke,1,03:20
